,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
30,12,6,5,11,4,44,2,33,41,1,13,5,6,30,24,0,10,9,6,16,35,17,5,23,30,99,3,7,17,25,287,9,4,35,9,45,43,11,460,259,21,10,26,3,3,30,0,8,2,5
31,117,80,2,0,2,1,11,4,9,0,3,3,47,157,24,1,0,1,46,3,19,22,1,13,5,205,77,44,6,6,2,292,7,14,22,4,13,7,22,393,18,6,3,2,0,1,1,2,1,12
32,33,25,2,4,9,48,29,7,11,0,10,70,3,21,18,4,7,4,12,12,23,6,2,25,54,2,82,10,7,2,3,1,883,5,35,17,40,3,55,90,13,17,4,5,2,10,0,0,0,17
33,44,28,10,24,11,46,3,37,18,8,7,34,8,18,100,2,5,19,7,21,3,28,4,24,10,64,36,15,1,36,43,3,5,404,69,8,144,66,62,170,20,12,47,5,1,12,2,10,6,13
34,127,17,7,10,43,37,24,31,22,18,20,35,9,11,39,33,3,4,14,13,31,12,4,109,23,6,233,15,4,11,4,2,18,21,384,12,26,26,9,80,14,24,21,4,1,4,0,5,0,25
35,42,25,1,3,0,21,17,9,10,0,7,6,35,57,92,0,4,1,0,58,11,7,1,9,19,31,2,135,10,4,20,4,10,12,11,352,115,9,139,265,36,95,5,0,0,8,1,4,0,32
36,18,19,8,8,4,31,9,20,10,5,1,0,12,14,178,0,11,33,7,2,3,8,8,63,41,11,29,100,14,11,7,0,38,25,20,42,652,13,43,92,99,22,21,4,0,31,1,8,0,24
37,8,3,49,16,15,18,1,4,17,7,156,15,3,9,45,0,6,13,19,2,4,37,25,8,31,20,44,11,9,8,21,7,24,29,13,18,9,421,58,88,3,10,23,116,27,322,15,8,1,8
38,22,48,1,0,1,24,5,17,34,0,11,2,17,58,11,0,2,0,10,29,30,3,1,10,14,66,1,4,2,1,30,3,21,7,3,34,27,1,876,187,6,33,6,3,0,3,0,1,0,8
39,26,96,1,1,0,4,15,0,4,0,0,4,20,25,9,0,2,1,8,22,5,3,4,1,1,38,15,4,5,1,4,10,5,2,1,24,9,2,42,1093,13,7,1,2,0,3,0,0,0,6
40,34,16,13,5,4,42,37,10,10,3,14,18,4,16,61,3,14,37,22,7,15,14,10,13,31,11,40,21,30,33,21,4,85,30,23,54,151,21,46,289,326,22,17,14,1,65,2,3,0,14
41,86,52,4,0,2,8,10,8,7,0,1,2,48,82,104,0,2,8,10,16,5,12,7,21,22,15,6,100,25,3,9,7,18,7,6,154,93,11,111,170,29,278,13,6,2,10,0,3,1,22
42,5,2,71,33,7,13,5,4,11,0,6,3,4,14,72,1,4,133,23,1,4,29,7,3,32,6,17,26,3,70,14,1,18,32,22,10,95,34,34,13,4,6,814,21,5,22,3,41,6,7
43,11,4,81,6,37,6,3,2,14,1,42,6,3,6,19,0,9,16,44,0,5,116,46,31,20,7,30,4,7,23,0,4,40,0,5,4,4,27,23,50,7,6,6,714,65,59,4,3,0,5
44,0,0,109,29,36,11,6,0,85,1,156,2,1,0,9,0,12,27,11,1,1,113,98,6,75,2,5,1,5,32,0,0,19,1,0,0,3,4,11,35,0,4,2,110,672,47,3,1,3,2
45,4,3,37,5,10,13,4,0,12,0,95,8,7,15,42,0,21,8,22,14,0,35,35,12,35,11,30,3,9,6,10,4,30,6,2,15,38,98,81,172,16,14,9,106,78,694,6,6,0,3
46,1,2,3,9,5,6,11,6,3,40,9,0,1,4,29,0,5,1,2,0,0,65,124,4,31,22,2,23,12,25,0,2,0,4,1,0,2,13,3,4,0,9,12,6,24,1,1231,20,11,16
47,0,0,49,15,7,8,11,3,4,4,1,2,14,4,33,0,2,10,2,1,1,68,8,3,6,47,20,43,11,178,0,4,2,5,1,0,7,6,1,3,2,3,80,10,10,9,217,740,48,19
48,0,0,0,3,30,15,0,0,2,1,7,0,1,2,2,0,1,0,0,0,0,38,26,0,18,0,0,1,0,9,0,0,0,1,0,0,0,5,2,0,0,1,2,2,15,0,52,9,1608,7
49,26,8,0,1,11,58,14,34,23,50,12,1,2,1,0,31,0,0,0,0,35,2,2,4,2,0,28,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,2,0,1,0,5,6,1438
