,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
30,2,0,0,1,4,19,0,16,8,4,1,1,2,12,3,0,5,1,1,1,0,3,0,2,2,141,1,3,13,14,1272,0,0,20,0,12,3,5,158,3,12,21,4,5,1,5,0,24,1,3
31,28,19,0,0,0,0,4,11,3,1,0,2,25,108,4,1,0,0,17,3,3,0,0,0,0,181,1,8,13,5,11,1117,2,2,0,1,4,1,20,63,14,25,1,0,0,2,0,15,0,16
32,8,8,1,0,3,23,10,8,11,1,4,72,13,14,8,3,7,4,6,10,22,3,4,14,28,2,21,7,25,5,7,3,1178,2,2,6,41,4,22,8,32,44,0,9,3,7,0,2,0,27
33,4,2,3,2,6,20,0,32,14,18,1,8,2,11,14,1,3,1,2,1,0,7,1,10,1,14,20,4,17,41,27,2,1,1292,6,0,17,60,11,2,28,22,9,2,1,4,2,11,1,15
34,16,1,0,1,23,9,4,19,30,35,12,9,2,3,3,63,11,8,22,1,18,2,4,207,11,1,123,0,14,5,0,0,2,10,881,2,1,14,0,0,7,15,10,15,4,2,4,7,0,14
35,10,5,0,1,1,11,11,1,3,0,4,5,44,27,66,0,4,2,2,15,3,1,1,1,2,7,1,60,7,8,92,5,2,5,1,756,57,15,64,53,44,289,2,1,0,11,0,12,0,23
36,2,0,1,1,2,15,4,10,5,3,0,0,13,21,101,0,11,14,9,2,2,0,0,17,14,7,6,78,14,8,12,2,6,18,1,30,1112,3,16,4,76,86,8,5,0,43,0,20,0,18
37,1,0,6,0,2,2,1,8,6,2,22,14,1,1,6,0,0,2,35,2,1,14,3,1,0,11,3,1,14,14,20,1,23,67,0,6,0,1304,20,1,11,6,9,41,4,65,4,63,3,3
38,8,7,0,0,0,10,1,13,9,0,4,1,13,18,8,0,2,0,5,7,7,0,1,3,3,32,0,0,6,4,126,10,0,1,0,18,2,0,1275,19,3,28,1,3,0,1,0,12,0,12
39,6,46,1,0,0,0,9,0,3,0,0,6,16,24,0,0,0,0,18,17,4,1,0,0,0,19,0,4,8,2,5,12,4,1,0,36,2,2,23,1233,10,18,0,1,0,1,0,5,0,2
40,11,4,4,4,11,35,31,14,19,13,6,14,10,14,39,7,20,28,29,4,9,2,8,5,3,7,15,34,25,44,36,5,60,24,3,53,142,14,14,29,765,42,3,8,0,79,0,24,0,6
41,27,7,0,0,1,3,8,9,1,1,1,1,35,54,83,1,3,3,13,11,0,0,0,1,0,13,2,33,18,8,35,16,6,6,0,143,54,9,37,11,35,863,1,3,0,9,0,19,0,32
42,1,0,33,2,2,12,0,1,7,9,1,6,1,3,12,0,0,114,35,0,0,3,3,0,5,1,3,10,10,24,17,0,0,5,5,2,3,27,3,1,3,4,1306,13,6,5,3,101,3,6
43,2,0,4,0,10,5,0,2,4,1,11,12,0,2,0,3,2,14,61,0,2,14,4,13,0,0,5,0,12,11,1,0,6,0,0,2,1,9,2,0,3,4,1,1277,46,11,1,43,0,24
44,0,0,6,1,3,1,3,0,4,0,24,1,0,0,1,0,9,21,11,0,0,46,20,1,51,0,0,0,71,7,0,0,6,0,0,0,0,2,1,0,3,0,1,137,1237,5,1,68,1,8
45,1,0,2,0,6,4,1,0,1,0,14,0,7,4,16,1,4,3,24,7,0,19,5,1,2,9,2,9,16,7,9,2,9,3,1,5,45,51,25,8,19,22,2,61,28,1346,2,66,0,15
46,0,0,1,1,2,0,0,3,3,28,0,0,0,0,3,1,0,1,23,0,0,8,9,0,0,1,0,2,5,17,0,2,0,1,0,1,0,4,0,0,0,0,2,4,3,0,1465,207,0,7
47,0,0,4,0,0,0,1,1,1,2,1,2,3,1,2,2,1,2,11,1,1,3,5,0,0,1,6,0,1,41,0,0,0,0,0,0,0,0,0,0,1,0,13,6,0,2,98,1488,9,12
48,0,0,0,1,10,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,5,10,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,17,118,1676,1
49,1,2,0,0,0,4,3,23,8,67,2,0,4,1,0,13,0,0,3,0,17,0,0,3,1,0,41,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,8,0,1598
