,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
30,1,1,3,0,3,4,0,12,1,1,1,1,1,12,16,0,11,0,1,1,0,0,0,4,7,262,2,3,19,3,1195,0,0,96,0,7,22,12,53,1,4,8,1,1,5,8,0,5,9,12
31,7,6,0,0,0,0,0,11,1,3,0,3,13,158,4,0,2,0,1,3,0,1,0,3,3,327,2,28,30,1,16,958,0,66,0,3,14,2,4,18,5,8,1,0,0,1,3,1,5,19
32,3,5,1,1,3,0,3,11,7,1,0,156,15,19,45,1,30,2,1,10,1,1,3,37,71,16,15,84,45,5,15,4,779,26,5,5,157,2,9,1,33,12,8,11,14,11,1,7,5,45
33,1,2,4,1,3,1,0,28,5,6,1,8,3,7,22,0,7,1,1,2,1,6,4,6,15,49,23,5,19,7,72,3,1,1312,2,4,41,39,6,0,16,2,4,2,3,1,5,7,1,14
34,2,0,2,1,9,0,1,27,4,37,1,5,1,3,7,62,52,0,2,0,3,5,3,501,58,0,167,1,21,1,3,1,2,19,493,0,4,13,1,0,1,1,10,9,12,2,14,5,4,75
35,10,1,5,0,0,3,2,7,1,2,1,4,28,80,144,1,18,1,0,29,1,0,1,7,15,47,2,124,26,1,236,6,3,60,2,364,202,21,31,4,23,141,12,0,1,16,3,4,5,40
36,3,0,2,0,2,2,0,22,1,2,0,2,19,33,150,0,12,7,0,2,0,0,1,10,37,32,3,135,31,2,39,4,3,124,1,17,873,9,5,0,129,19,13,2,6,24,1,9,5,27
37,0,1,2,1,2,4,0,21,2,2,3,10,0,6,27,1,7,0,7,4,0,15,4,7,9,46,3,2,15,2,28,5,10,270,2,2,9,1048,18,0,7,5,5,13,22,102,13,8,34,20
38,6,6,0,0,1,1,1,17,5,1,2,4,10,18,16,2,10,0,2,11,0,2,0,6,9,53,3,7,69,0,287,12,0,35,0,20,23,5,961,3,7,17,0,2,3,1,1,2,7,25
39,25,39,1,0,2,3,5,3,1,1,0,11,30,55,19,0,1,0,6,108,3,2,1,2,0,125,0,27,27,0,41,39,5,15,3,47,34,4,37,757,15,20,0,1,1,7,2,2,0,12
40,3,2,1,0,4,2,2,14,3,4,1,2,12,15,98,1,60,12,1,6,0,1,6,15,32,43,6,82,58,12,105,8,18,129,1,11,426,15,15,10,383,11,5,6,7,78,5,6,3,36
41,12,5,1,0,1,1,1,12,0,0,0,5,37,96,184,0,12,2,3,24,0,0,2,4,13,42,4,76,76,1,138,11,4,65,1,114,147,8,40,5,34,356,4,0,4,9,7,7,8,40
42,0,0,8,1,2,0,1,2,4,3,0,3,1,10,10,0,6,92,23,1,0,4,4,11,22,14,7,3,26,0,10,4,3,19,3,2,10,29,1,2,4,1,1139,6,22,4,7,224,37,26
43,1,0,2,1,2,0,0,2,5,2,1,1,0,4,14,5,39,4,14,0,1,9,2,60,61,7,13,0,14,0,1,3,2,4,4,0,3,5,3,2,2,2,8,1054,124,4,12,4,26,98
44,0,0,0,0,1,2,0,6,0,1,1,1,1,2,3,3,53,2,3,0,0,6,1,20,112,6,3,0,37,0,0,1,0,0,0,0,1,1,3,0,2,0,4,56,1319,3,5,0,54,38
45,3,0,3,0,2,3,0,13,2,3,3,2,10,13,40,0,18,1,5,2,2,11,5,14,32,47,4,23,27,0,26,4,2,50,2,7,96,137,8,3,16,6,10,28,67,1006,3,14,46,65
46,0,1,1,0,1,0,0,3,1,21,0,0,0,0,1,1,1,1,2,0,1,3,6,1,5,2,1,0,3,0,0,0,0,0,0,0,1,1,0,0,1,0,5,1,1,0,1564,72,23,79
47,0,0,1,0,1,1,0,4,1,1,0,2,1,0,1,0,2,0,6,0,0,4,2,8,6,6,4,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,3,1,0,0,141,1387,48,85
48,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36,36,1718,55
49,0,0,0,0,0,0,0,16,0,6,2,0,0,0,0,6,0,0,0,0,0,0,0,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1752
