,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
30,1,0,1,0,4,1,0,20,1,0,1,1,1,9,15,0,9,1,0,1,0,0,0,2,6,281,0,7,32,1,1095,0,1,99,0,10,25,15,54,1,5,7,1,0,6,4,1,16,22,52
31,8,4,0,0,0,1,1,8,2,2,1,1,19,120,5,3,3,0,2,7,0,2,0,4,2,348,3,20,43,3,19,900,0,47,0,3,12,3,3,18,8,3,0,1,0,1,7,1,13,80
32,3,0,0,0,5,0,0,8,5,3,1,105,15,16,37,2,31,5,4,7,1,1,2,44,79,23,15,91,75,7,13,4,632,33,6,5,208,1,6,1,39,10,2,10,21,14,3,10,8,131
33,0,0,6,2,2,2,0,26,7,4,0,8,3,10,19,0,11,0,1,4,0,5,2,11,18,52,22,1,38,9,71,7,1,1229,2,3,53,27,8,1,18,0,6,2,2,0,6,16,17,41
34,6,2,2,0,6,0,1,23,4,31,4,5,1,1,4,51,61,4,0,1,5,4,1,479,76,6,140,0,36,1,2,2,1,15,424,0,4,13,1,0,0,1,11,8,17,7,29,10,9,136
35,9,1,1,0,0,1,1,5,3,0,2,5,39,56,122,1,20,0,1,24,0,1,1,8,20,45,5,85,38,2,230,5,2,67,0,315,215,16,36,2,34,123,9,2,1,19,4,12,10,137
36,3,1,1,1,2,1,0,17,2,0,0,1,25,26,136,0,19,6,0,2,0,2,0,9,48,34,5,95,52,2,38,4,1,101,2,20,843,7,8,1,116,17,9,1,4,27,5,10,19,97
37,0,0,3,0,0,0,0,17,5,5,1,12,3,15,33,2,12,0,5,1,0,11,4,20,24,76,2,5,25,4,23,3,6,270,5,1,10,864,38,2,12,6,12,7,16,93,16,7,71,77
38,1,1,1,1,1,0,0,18,9,0,0,2,9,21,14,5,9,0,2,11,0,0,0,7,11,60,3,6,114,0,244,4,0,35,0,27,32,4,852,5,7,18,2,3,3,2,1,6,20,102
39,14,35,1,0,2,3,6,1,4,3,0,13,29,54,18,2,5,2,2,105,1,3,3,1,4,135,1,28,42,0,36,36,3,25,2,53,30,4,36,638,30,17,1,2,2,8,3,2,6,88
40,3,1,1,0,2,3,0,14,3,3,2,3,11,12,99,1,64,7,1,8,0,5,6,12,33,51,9,68,100,11,123,5,11,106,0,11,423,7,21,6,313,19,14,5,4,59,4,9,9,94
41,14,6,1,0,1,1,3,13,5,0,0,3,26,80,153,0,14,2,1,32,0,0,1,13,22,43,7,54,96,1,142,10,2,61,1,102,152,9,28,3,27,281,8,0,3,11,11,13,19,141
42,0,0,9,0,2,0,0,2,3,1,0,7,1,11,12,2,12,80,35,0,0,4,2,17,46,21,11,3,28,0,7,5,4,17,4,3,4,26,3,1,5,4,988,7,14,6,18,233,45,108
43,0,1,0,0,0,0,0,4,1,4,1,2,0,2,10,7,41,3,7,0,2,7,1,83,118,9,11,0,17,0,3,1,3,3,2,0,0,4,4,0,3,2,13,841,107,4,15,7,96,186
44,0,0,0,0,0,1,0,5,0,0,0,0,0,0,3,2,47,5,1,0,0,4,1,19,151,13,3,0,39,0,0,3,1,2,0,0,1,1,0,0,0,0,3,38,1156,1,9,4,129,109
45,0,1,0,0,2,0,0,5,3,3,0,1,4,9,46,4,21,2,7,4,2,10,7,27,45,84,5,15,26,2,15,3,9,38,1,4,86,91,14,2,19,10,18,22,73,826,11,9,102,196
46,0,0,0,0,0,0,0,1,1,9,0,1,0,0,5,2,0,0,1,0,0,1,3,1,4,9,1,1,3,1,0,0,0,0,0,0,0,1,0,0,1,0,4,0,1,0,1451,92,43,167
47,1,0,0,0,0,0,0,3,3,0,0,1,0,0,2,2,2,0,3,0,0,1,1,5,5,7,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,2,1,0,134,1215,73,255
48,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,33,1677,109
49,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,15,1755
